DESCRIPCION	COD_DPTO
VILLA QUEBRACHOS	20
EL BRETE	2
LLAJTA SUMAJ	8
VILLA RIO HONDO	21
HORNILLAS	2
SAN PEDRO	8
VILLA ROBLES	23
TACANITAS	2
KM 23	8
VILLA SAN MARTIN	14
LA MANGA	2
RINCON DE ESPERANZA	8
VILLA SAN PEDRO	9
EL CHURQUI	2
LA MELADA	14
VALLE GRANDE	8
VILMER	23
LA BAJADA	9
LA MELEADA	14
RINCON DEL VALLE	8
JUMIAL GRANDE	2
VINAL POZO	19
LA BLANCA	14
PICHANA	9
LA CANDELARIA	8
CASASOLA	2
VINARA	21
SAN JUANCITO	9
TERNERO HUATANA	14
PIRUAJ BAJO	8
SANTA ALCIRA	2
VIZCACHERAL	12
LA REVANCHA	14
SANTA ALCIRA	2
AHI VEREMOS	8
WEISBURD	17
LUJAN	12
EL HOYON	14
SAUCE BAJADA	2
PARAJE CONZUELO	8
YACU ICHACUNA	15
LAS TALITAS	12
CAMPO AMOR	14
PARAJE SAN LUIS	2
LOC. MARIA ANGELICA	17
YALAN	26
EL RINCON	12
LA BLANCA	14
MANISMIOJ	2
YANDA	7
CONCHAYOJ	26
TOTORA PAMPA	14
YASO	25
BAJADITA	14
YUCHAN	15
COLLERA HURCUNA	14
YUTO YACA	21
PARAJE SUNCHO POZO EL TRIUNFO	15
ZANJON	7
ROLDAN	15
MOJON	19
PUESTO DEL MEDIO	7
EL DESVIO	15
TALA ATUN	4
SAN PEDRO	7
EL TOBA	15
PAMPA ATUN	23
LA ABRITA	7
BREAYOJ	4
KM 25	15
ESTACION ROBLES	25
EL CHURQUI	7
HORNILLOS	4
BARRANCA	19
SAN ROQUE	7
PAMPA ATUN	25
LOS MOJONES	7
SAN FRANCISCO	19
ESTACION TABOADA	25
LA MESADA	19
CAÑADA DELMEDIO	7
LA SOLEDAD	21
SAN JAVIER	19
LOMAS DE ZAMORA	7
GARZA	25
PAMPA MULLOJ	23
TORO POZO	21
SAN ROQUE	19
PARAJE NUEVA ESPERANZA	7
EL ARENAL	13
PALO BORRACHO	23
TORO YACU	21
SAN SERAFIN	19
LA ESTANCITA	7
EL SIMBOL	27
ZURI POZO	13
ESTACION ROBLES	23
LA MANGA	19
RODEO VALDEZ	21
FISCO DE FATIMA	13
PARAJE MORCILLO	23
TACO POSO	19
CAÑADA DEL MONTE	21
SABAGASTA	27
SAN JUAN	23
EL SOCORRO	19
CHAÑARITO	13
COLONIA TINCO	21
EL BARRIAL (PARAJE)	23
EL CHURQUI	13
LA NUEVA DONOSA	21
EL REFUGIO	23
SAN ANTONIO	13
SANTO DOMINGO	23
PARAJE EL MORCILLO	23
SIN ESPECIFICAR	1
MEDIA LUNA	1
TACAÑITAS	11
COLONIA RASQUIN	5
LAS ABRAS	5
LA CAPILLA	5
PAMPA MUYOJ	5
MISTOLITO	5
TRAMO 20	5
CHILCA	23
HIGUERA CHACRA	23
TURENA	23
JANTA	23
LAS DELICIAS	23
YUTU YACU	21
LOS DECIMA	21
RINCON DE ATACAMA	21
CAÑADA DE LA COSTA	21
CAÑADA DE TALA POZO	21
LA RESERVA	21
EL BRACHO	23
SAN JOSE	17
PUESTO SAN PABLO	21
QUENTI TACO	21
EL PUESTITO	21
TRAMO 18	0
VUELTA DE LA BARRANCA	7
EL DEANCITO	7
CHAÑAR POZO	5
TRAMO 18	5
RODEO	9
KM. 340	20
MAQUITO	7
SANTA ELENA	11
SAN BENITO	7
CUATRO ESQUINA	2
PUNUA	14
PUESTITO NORTE	7
CARA PUJIO	23
CARA PUGIO	23
COMERCIAL	23
SAN JOSE DE FLORES	23
CHILQUITA	23
SAN JOSE	23
CHAGUAR PUNCO	23
EL QUEMAO	23
LOAJ	23
PUESTO NUEVO	23
LA LOMA	23
POZO SUNI	23
TUSCA POZO	23
MISTOL	23
SAN PEDRO	11
EL CERCADO	5
VILLA DE AGUA	0
VILLA OJO DE AGUA	18
LESCANO	21
EL FISCO	17
CUATRO HORCONES	5
QUEBRACHO MARCADO	7
QUIMILI BAJADA	14
EL MOLLE	18
LOMA COLORADA	18
EL QUEBRACHITO	18
EL SIMBOLAR	18
EL SIMBOLAR	17
LOS CHAÑARES	18
LOS SUNCHOS	18
EL CINCO	17
SUMAMPA	20
EL SIMBOL	20
ORATORIO	20
LA ARGENTINA	20
LA CHICHARRA	20
LA AGUADITA	20
LOS PUESTOS	20
LA SOLEDAD	18
EL BRACHO	4
SANTA ELENA	8
EL VEINTE	4
SAN BERNARDO	8
MORCILLO	23
SANTA ROSA	4
ESTACION PUNTA	0
BRACHO LAGUNA	4
ESTACION LA PUNTA	9
COLONIA ISLA	4
EL CERRO	18
LAS BARRANCAS	18
EL CANARIO	9
LAS CAÑITAS	18
RUMI POZO	18
POZO DEL SIMBOL	18
LOS POZOS	18
EL CHAÑAR	18
SANTA LUCIA	18
LAS TALAS	18
KM. 88	18
CAMPO SAN ANTONIO	4
EL MOJON	5
TACUARI	23
COLONIA PINTO	23
SAN ROQUE	23
SAN IGNACIO	23
PUESTITO DEL MEDIO	7
NUEVA LEMA	1
MORAMPA	14
LOS PIRPINTOS	0
EL EMBUDO	1
CARA PUJIO	5
COLONIA MARIA LUISA	5
VILLA MORENO	5
EL PINTO	14
COLONIA HIPOLITO IRIGOYEN	14
LAS CHACRAS	14
EL VINAL	23
LAS HERMANAS	5
POLPOLLAJTA	0
SUNCHO POZO	0
TINAJERAYOJ	17
BAJO LAS PIEDRAS	20
SAUCE BAJADA	5
SAN ANTONIO	9
PAMPA MUYOJ	16
PAMPA MUYOJ	19
LA MAJADILLA	18
LOS RALOS	21
LAS TINAJAS	21
LA BAJADA	19
EL TARTAGAL	19
EL SAUCE	19
PUESTO DEL ANGEL	19
ELCORRALITO	19
EL CORRALITO	19
EL PORVENIR	21
CARANCHI YACU	14
CARANCHI YACU	18
EL SIMBOL	18
POZO DEL BARRIAL	0
POZO DEL BARRIAL	1
SOCONCHO	3
YACU CHIRI	0
YACU CHIRI	3
MOCHINO	0
MOCHINO	3
CAMPO RASSO	11
COLONIA OSVALDO	11
EL RODEO	0
EL RINCON	0
EL RODEO	9
CANAL SAUCE	4
TOCON ESQUINA	4
COLONIA ALCIRA	4
VILLA AURORA	23
COLONIA SAN JOSE	23
LA LAGUNA	18
CORRAL DE SANCHEZ	18
KM. 50	18
TALA CRUZ	18
LOS PARAISOS	18
POZO DE VARGAS	20
SANTA MARIA	23
CRUCECITAS	14
LA FUENTE	20
LA ELSITA	17
EL 90	17
LA HIGUERA	23
LA HIGUERA	0
LA HIGUERA	20
MATARA	23
CANAL MELERO	11
EL BARRIAL	5
FUERTE VIEJO	20
FISCO CHICO	2
LOS MORALES	7
EL PUESTITO SAN MARCOS	7
SAN ANTONIO	0
SAN ANTONIO	7
LA BERNACHA	7
ABRA GRANDE	7
PINTO	0
EL TUSCAL	0
EL POLEAR	0
VILLA SUAYA	5
SAUCE BAJADA	23
PUESTITO SAN ANTONIO	7
PUESTITO SAN ANTONIO..	7
LOS QUIROGA	7
PUESTITO SUD	7
TALA PUNCO	25
LOS REMES	7
